"Site_Code","x","y","Elevation","Cos.aspect","Slope","Summer.Insolation","DBH.mean","Canopy_openness","Soil.type","Cytotype","geneticSexID","Rock_Unit","pheno.2016.EVImax","pheno.2016.GSL.50","pheno.2016.OGI","pheno.2016.OGMn","pheno.2017.EVImax","pheno.2017.GSL.50","pheno.2017.OGI","pheno.2017.OGMn","pheno.2018.EVImax","pheno.2018.GSL.50","pheno.2018.OGI","pheno.2018.OGMn","pheno.2019.EVImax","pheno.2019.GSL.50","pheno.2019.OGI","pheno.2019.OGMn","sm_q01.X2012","sm_q01.X2013","sm_q01.X2014","sm_q01.X2015","sm_q01.X2016","sm_q01.X2017","sm_q01.X2018","sm_q01.X2019","sm_runs_med_dur.X2012","sm_runs_med_dur.X2013","sm_runs_med_dur.X2014","sm_runs_med_dur.X2015","sm_runs_med_dur.X2016","sm_runs_med_dur.X2017","sm_runs_med_dur.X2018","sm_runs_med_dur.X2019","snowmelt.X2012","snowmelt.X2013","snowmelt.X2014","snowmelt.X2015","snowmelt.X2016","snowmelt.X2017","snowmelt.X2018","snowmelt.X2019","tmax_q99.X2012","tmax_q99.X2013","tmax_q99.X2014","tmax_q99.X2015","tmax_q99.X2016","tmax_q99.X2017","tmax_q99.X2018","tmax_q99.X2019","aspen_cover"
"AHYY",324642.492571761,4308667.21306665,2804.53627225658,-0.55359319543508,13.3833447743548,21.677885055542,24.2914545454545,3,"Soil","Triploid","F","Quaternary deposit",0.620000004768372,101,135,280,0.599900007247925,98,136,280,0.592599987983704,99,132,277,0.602699995040894,104,153,287,0.283295184373856,0.294769644737244,0.349968940019608,0.336903005838394,0.340221792459488,0.356041848659515,0.277148723602295,0.31248351931572,0,0,0,0,0,0,0,0,101.855316162109,127.737213134766,133,113,120.641487121582,131.427658081055,115.427658081055,145.191635131836,29.8578605651855,29.8684234619141,29.8281669616699,29.7548332214355,29.8363132476807,29.8485927581787,29.9451789855957,29.8158168792725,0.573674082756042
"AMYCG",328003.960811797,4314270.05049237,2949.49750603777,-0.893537142486394,12.0342134364744,22.5156784057617,19.9,4,"Soil","Triploid","M","Igneous intrusive",0.575200021266937,102,140,282,0.561500012874603,100,141,282,0.557799994945526,102,133,277,0.569800019264221,102,139,285,0.266720235347748,0.307435303926468,0.359202593564987,0.36109271645546,0.333494395017624,0.326385706663132,0.240825176239014,0.282623797655106,0,0,0,0,0,0,0,0,105.469200134277,129.15837097168,145,114.506637573242,137,145.430465698242,121.860931396484,161.430465698242,29.7221984863281,29.7279605865479,29.6265106201172,29.6036128997803,29.7068328857422,29.6694602966309,29.79443359375,29.659969329834,0.282104313373566
"AMYT",324614.436217705,4308771.26796624,2810.17849414986,-0.638135178278322,10.6609802149003,21.6388416290283,25.0272727272727,4,"Soil","Triploid","F","Quaternary deposit",0.615199983119965,102,140,277,0.606500029563904,103,138,281,0.612600028514862,108,130,282,0.609300017356873,105,153,287,0.289039254188538,0.299313813447952,0.35113462805748,0.340971708297729,0.343388199806213,0.355372607707977,0.282673805952072,0.31632062792778,0,0,0,0,0,0,0,0,99.3327713012695,128.770889282227,133,113,118.749572753906,130.166381835938,114.166381835938,142.788681030273,29.8537540435791,29.8643379211426,29.8224334716797,29.7505836486816,29.8326988220215,29.8439064025879,29.9413414001465,29.8112907409668,0.648204624652863
"APCV",329791.532833533,4313264.88485877,3139.63194226072,-0.970247855772246,17.6743545908166,23.8279037475586,21.6,5,"Soil","Triploid","M","Quaternary deposit",0.643400013446808,NA,NA,NA,0.648599982261658,94,143,281,0.621800005435944,85,143,275,0.705900013446808,90,150,287,0.29164320230484,0.315172255039215,0.347331464290619,0.347970902919769,0.333778709173203,0.32793989777565,0.276227593421936,0.300354987382889,0,0,0,0,0,0,0,0,104.74600982666,132.394485473633,140.745666503906,128.49201965332,136.506408691406,144.267486572266,120.761085510254,156.873001098633,29.7528133392334,29.7587089538574,29.6744041442871,29.6441707611084,29.7353610992432,29.7046298980713,29.8173713684082,29.6897678375244,0.403070688247681
"APZE",322116.187129827,4303613.07952283,2993.97616152667,-0.987154305480974,22.2952096627505,24.4976234436035,25.0727272727273,3,"Scree",NA,"F","Quaternary deposit",0.572000026702881,103,135,286,0.579599976539612,NA,NA,270,0.525600016117096,102,131,282,0.583899974822998,NA,NA,287,0.247515767812729,0.243951976299286,0.277908116579056,0.298333913087845,0.298043519258499,0.275676280260086,0.221668228507042,0.24469268321991,0,0,0,0,0,0,0,0,123.34700012207,142.548141479492,155.655426025391,130.536468505859,140.884429931641,151.721649169922,130.17350769043,166.212142944336,29.7513999938965,29.7603759765625,29.754077911377,29.6638679504395,29.7447719573975,29.7581424713135,29.8374271392822,29.7097434997559,0.413458645343781
"AQPIX",322681.687426321,4311523.73606385,3013.05798890024,-0.800165468171791,32.2705772207523,24.2623386383057,24.1818181818182,4,"Soil","Triploid","F","Shale or limestone",0.599799990653992,98,136,284,0.565900027751923,106,133,286,0.557299971580505,84,135,282,0.578100025653839,NA,NA,290,0.291168689727783,0.295235931873322,0.317374974489212,0.326791375875473,0.323599010705948,0.323734194040298,0.282521337270737,0.297108680009842,0,0,0,0,0,0,0,0,116.232093811035,145,149.517700195312,141.928283691406,138.237701416016,153,132.232086181641,164.232086181641,29.7868747711182,29.7956809997559,29.6999778747559,29.6688499450684,29.7721347808838,29.7492618560791,29.8820705413818,29.7323341369629,0.181120067834854
"AQXKL",322958.120040625,4311126.71725706,2951.24985608817,-0.70240620511473,36.9041218827893,23.9707431793213,11.2727272727273,5,"Soil","Diploid","F","Quaternary deposit",0.655399978160858,102,133,280,0.631699979305267,108,138,285,0.628099977970123,102,132,283,0.629000008106232,NA,NA,292,0.290449380874634,0.29088819026947,0.320977747440338,0.326346963644028,0.3135145008564,0.313994586467743,0.281940400600433,0.291666239500046,0,0,0,0,0,0,0,0,113.008102416992,145,152.932479858398,142.273315429688,138.69775390625,153,129.008102416992,161.008102416992,29.7834281921387,29.7927341461182,29.7039833068848,29.668888092041,29.769474029541,29.7509365081787,29.8777980804443,29.7300930023193,0.288870066404343
"AQZOX",322049.022303677,4303907.96679409,3058.3586412744,-0.637311746353685,19.538380036775,22.4029140472412,23.525,2,"Talus","Triploid","F","Quaternary deposit",0.557900011539459,96,143,284,0.569100022315979,NA,NA,278,0.53659999370575,97,139,281,0.601599991321564,90,149,286,0.244976386427879,0.240985542535782,0.268681645393372,0.285896956920624,0.287742584943771,0.268543004989624,0.219532772898674,0.240729257464409,0,0,0,0,0,0,0,0,125.855354309082,144.454345703125,155.33903503418,123.896606445312,144.917327880859,154.793380737305,128.638534545898,163.700500488281,29.7448883056641,29.7540855407715,29.7428588867188,29.6571235656738,29.7388248443604,29.7512454986572,29.8309364318848,29.7023429870605,0.45349782705307
"ASIBO",336219.191991488,4309658.86404716,3105.95279511018,0.1253882219073,21.6424852799076,18.2625980377197,16.0636363636364,5,"Soil","Triploid","F","Sandstone or conglomerate or siltstone",0.513100028038025,100,138,278,0.486299991607666,104,139,282,0.482899993658066,106,132,280,0.485500007867813,101,148,288,0.0583702139556408,0.0434673987329006,0.0471741817891598,0.0533856898546219,0.0472125448286533,0.0464016683399677,0.056041955947876,0.0426587089896202,225.302703857422,151.829254150391,104.423385620117,96.5515823364258,91.6816635131836,108.702934265137,365,119.266098022461,100.826164245605,123.48006439209,134.800720214844,141,130.01530456543,141.173843383789,121,141,29.8046169281006,29.8161582946777,29.7394161224365,29.7029781341553,29.7952175140381,29.7747859954834,29.8745727539062,29.7604484558105,0.073919989168644
"ASMP",329720.078993095,4313087.46970065,3048.72387875898,-0.977676629137262,25.1569343400252,24.5983104705811,18.1636363636364,2,"Soil","Triploid","M","Igneous intrusive",0.585099995136261,97,139,281,0.57260000705719,93,138,281,0.539399981498718,93,131,281,0.621900022029877,90,142,283,0.316453337669373,0.340864539146423,0.369976013898849,0.370436668395996,0.356067717075348,0.356220483779907,0.308234602212906,0.328675836324692,0,0,0,0,0,0,0,0,97,128.578552246094,137.571060180664,113,132.789276123047,137.720672607422,117.360336303711,152.046646118164,29.7695922851562,29.7755699157715,29.6933860778809,29.6610355377197,29.7525997161865,29.7242984771729,29.835205078125,29.7077140808105,0.241829633712769
"ATDH",324676.524918782,4308715.23759517,2815.85338618617,-0.539354773568763,12.3006470345581,21.5402336120605,23.3727272727273,4,"Soil","Triploid","F","Quaternary deposit",0.613300025463104,101,135,277,0.606800019741058,95,137,278,0.596499979496002,97,131,272,0.598599970340729,99,154,285,0.283101618289948,0.294547855854034,0.34841775894165,0.336633890867233,0.33993273973465,0.354277551174164,0.275949627161026,0.311462223529816,0,0,0,0,0,0,0,0,99.6007995605469,127.925811767578,133,113,118.95059967041,130.300399780273,114.300399780273,143.159103393555,29.8584785461426,29.8690605163574,29.8286037445068,29.7553520202637,29.8368835449219,29.8490104675293,29.9458312988281,29.8164405822754,0.606484591960907
"ATQY",327017.051818183,4310018.06559348,3006.0297549665,-0.674506481985377,17.1607785014163,22.3499622344971,17.8818181818182,3,"Soil","Triploid","M","Quaternary talus / rock glacier",0.620000004768372,95,145,279,0.612900018692017,94,146,281,0.591000020503998,94,141,277,0.675800025463104,93,147,288,0.158758923411369,0.143788903951645,0.151350036263466,0.178560718894005,0.164683893322945,0.154210194945335,0.123078785836697,0.128082901239395,29.6346874237061,33.0577507019043,21.3100967407227,95.9421844482422,38.8867416381836,69.2047882080078,11.7956104278564,80.2837219238281,109.112937927246,133.567337036133,145.35139465332,130.097839355469,133.567337036133,143.433441162109,120.545600891113,153,29.8784275054932,29.8883094787598,29.8350372314453,29.7735233306885,29.8631839752197,29.8629913330078,29.9634494781494,29.8365020751953,0.173308029770851
"AWUSD",320802.806420235,4313762.14708822,2944.86911932238,-0.97198127447618,29.2823099053637,24.9854278564453,9.79,3,"Talus","Diploid","F","Quaternary talus / rock glacier",0.461400002241135,95,143,285,0.446299999952316,88,147,282,0.420700013637543,90,138,296,0.461899995803833,84,164,309,0.301084667444229,0.31197202205658,0.359288781881332,0.349573224782944,0.353144019842148,0.363654762506485,0.313416182994843,0.348910301923752,0,0,0,0,0,0,0,0,126.461730957031,153,158.461730957031,148.757019042969,151.47883605957,158.335388183594,129.908843994141,169.290390014648,29.6890602111816,29.6922492980957,29.5697269439697,29.5509281158447,29.6766242980957,29.6255378723145,29.7844047546387,29.6291408538818,0.201202780008316
"AZIHK",328239.336941908,4309665.02596665,3112.9680325817,-0.184878999461867,27.7147836375769,19.8164939880371,20.9,4,"Talus","Triploid",NA,"Quaternary deposit",0.560999989509583,100,137,277,0.505400002002716,99,134,272,0.511600017547607,104,135,271,0.559599995613098,94,154,286,0.082477018237114,0.0762719437479973,0.0803282782435417,0.0832544267177582,0.0778597965836525,0.0797143578529358,0.0867692679166794,0.0764474645256996,13.0127372741699,46,10.8191108703613,3.9076464176178,33.8305168151855,66.9028015136719,4.28478622436523,160.354156494141,105.073921203613,129,133.484008789062,113.672340393066,137.672332763672,130.477951049805,121,153,29.9196872711182,29.9285793304443,29.8821563720703,29.8155460357666,29.9056129455566,29.9072151184082,30.0016479492188,29.8820991516113,0.444853097200394
"AZLSF",322117.297626967,4303817.10122024,3021.92826525028,-0.987428692243841,19.6627092289701,24.2995471954346,16.0833333333333,5,"Soil","Triploid","M","Quaternary deposit",0.431100010871887,106,138,283,0.423400014638901,NA,NA,276,0.416799992322922,97,135,278,0.43860000371933,NA,NA,286,0.267184853553772,0.263058513402939,0.291237056255341,0.310610204935074,0.314953207969666,0.293791443109512,0.239660918712616,0.264275938272476,0,0,0,0,0,0,0,0,123.011695861816,144.65315246582,153.883560180664,113.448364257812,140.486694335938,153.536712646484,128.704284667969,162.179275512695,29.7493190765381,29.7583618164062,29.7497978210449,29.6615409851074,29.7427577972412,29.7558288574219,29.8354835510254,29.7072448730469,0.250615417957306
"BCNTS01",334288.507825069,4305645.89601601,2759.94594983928,0.19270361809552,19.6129290595529,18.7289505004883,11.9272727272727,5,"Soil","Triploid","M","Quaternary deposit",0.629400014877319,108,140,286,0.638999998569489,110,137,287,0.598599970340729,117,132,286,0.630500018596649,NA,NA,295,0.118432253599167,0.15184260904789,0.226298168301582,0.230424672365189,0.187114834785461,0.17203477025032,0.099710538983345,0.116117991507053,77.6797714233398,71.8452453613281,93.9247589111328,159.972686767578,180.958908081055,51.0639762878418,154.978225708008,46.0149154663086,103.285209655762,121,127.95418548584,113,133.570419311523,142.195999145508,111.285209655762,141,29.9384956359863,29.9500484466553,29.914758682251,29.8381099700928,29.9278812408447,29.9361515045166,30.0218448638916,29.9096260070801,0.290296912193298
"BCOE",324733.436571028,4308738.71514364,2829.30418552312,-0.65301870010231,16.4522870828427,22.4459037780762,28.2181818181818,5,"Soil","Triploid","M","Quaternary deposit",0.56879997253418,108,134,278,0.545199990272522,107,137,285,0.564599990844727,112,132,281,0.557600021362305,NA,NA,292,0.281402975320816,0.293066084384918,0.345379292964935,0.335177063941956,0.338676512241364,0.351285427808762,0.272530078887939,0.308784037828445,0,0,0,0,0,0,0,0,98.9435195922852,128.259048461914,133,113,117.145431518555,129.323913574219,113.323921203613,141,29.860538482666,29.8711605072021,29.8307552337646,29.7572822570801,29.8387451171875,29.8508758544922,29.9478950500488,29.8186130523682,0.620008647441864
"BCSFE01",334202.579489076,4304982.34410901,2805.69885284394,0.173338871458378,17.7661634874249,18.4850978851318,16.1,5,"Soil","Triploid","M","Quaternary deposit",0.6182000041008,85,144,284,0.567300021648407,103,142,292,0.478500008583069,88,138,268,0.590799987316132,NA,NA,288,0.0860519409179688,0.120016314089298,0.188498675823212,0.190804094076157,0.149875268340111,0.137207582592964,0.0793141946196556,0.0935230478644371,114.876724243164,74.9441680908203,62.1844100952148,128.191055297852,181.5,45.8292198181152,197.374221801758,65.6872863769531,97.6961975097656,122.392387390137,131.018341064453,111.533409118652,128.451354980469,137.362243652344,109.036682128906,142.740493774414,29.945858001709,29.9578609466553,29.9267024993896,29.8461360931396,29.9335899353027,29.9443016052246,30.0300388336182,29.9184169769287,0.206284567713737
"BDGAP",325198.534923004,4308938.99116289,2917.82820337454,-0.99996931107816,18.2956549904125,23.3517112731934,23.8090909090909,4,"Soil","Triploid","M","Quaternary deposit",0.562200009822845,118,124,281,0.540300011634827,NA,NA,286,0.5625,NA,NA,NA,0.551599979400635,NA,NA,317,0.245707854628563,0.248953178524971,0.281599462032318,0.286202549934387,0.289015620946884,0.285519808530807,0.229191333055496,0.258301109075546,0,0,0,0,0,0,0,0,134.690170288086,129.374099731445,133,119.014060974121,124.062507629395,135.655792236328,117.937492370605,141,29.8733940124512,29.884313583374,29.8441581726074,29.769474029541,29.850622177124,29.8625793457031,29.9607696533203,29.8322639465332,0.663061439990997
"BDRF",326964.958482077,4310015.7972007,2991.94962321166,-0.627371518570194,22.3516983105416,22.5757637023926,17.7,5,"Soil","Triploid","M","Quaternary talus / rock glacier",0.596499979496002,102,143,283,0.581700026988983,103,143,285,0.572399973869324,106,139,284,0.614300012588501,99,154,298,0.164857745170593,0.149206936359406,0.157175794243813,0.186207383871078,0.171751484274864,0.16034871339798,0.126246720552444,0.13227966427803,23.2954368591309,31.4551048278809,17.1613903045654,100.153015136719,38.0785789489746,67.1789245605469,9.73464965820312,79.1009216308594,110.150146484375,134.400573730469,147.00651550293,133.240859985352,134.400573730469,143.410720825195,120.749572753906,153,29.8768863677979,29.8868255615234,29.833423614502,29.7719821929932,29.861572265625,29.8614082336426,29.9620876312256,29.8348541259766,0.236951857805252
"BFPMS",327996.961374053,4309688.14052439,3203.83665248274,-0.756921932050607,20.6826550506049,23.185827255249,10.8545454545455,2,"Talus","Diploid","M","Igneous intrusive",0.436800003051758,101,143,321,0.414299994707108,NA,NA,293,0.404500007629395,99,139,276,0.450599998235703,85,158,279,0.0823031142354012,0.0762461945414543,0.0802547261118889,0.0832293257117271,0.0777762532234192,0.0795399099588394,0.0863745957612991,0.076452411711216,20.8152313232422,46,15.8726501464844,10.7536773681641,36.8678894042969,69.0471038818359,8.4921760559082,151.723999023438,102.617889404297,129,133.550415039062,113.720748901367,134.958541870117,132.863037109375,118.617889404297,153,29.9129981994629,29.9220733642578,29.8748817443848,29.8087615966797,29.8985633850098,29.9001712799072,29.9955177307129,29.8747501373291,0.573340117931366
"BJSRA01",323380.331310211,4309178.74203642,2766.62983779076,0.473563143420312,19.2822280841445,17.0625038146973,16.15,3,"Talus","Triploid","M","Shale or limestone",0.415600001811981,NA,NA,281,0.413800001144409,NA,NA,273,0.390199989080429,84,137,270,0.414200007915497,NA,NA,274,0.314412355422974,0.326645463705063,0.367647856473923,0.364794462919235,0.355345517396927,0.361032754182816,0.308142721652985,0.322717845439911,0,0,0,0,0,0,0,0,119.54345703125,142.064025878906,148.742156982422,134.064102172852,136.73063659668,141.146194458008,126.333381652832,156.552597045898,29.7912502288818,29.8012733459473,29.7427787780762,29.6876125335693,29.7768402099609,29.7778224945068,29.8813209533691,29.7433280944824,0.180359870195389
"BJSRB01",323255.304685255,4309135.2883889,2800.15103019093,0.368448672652026,14.2460057022163,18.1742172241211,13.1272727272727,2,"Talus","Diploid","F","Shale or limestone",0.38060000538826,101,149,293,0.407099992036819,93,146,282,0.350800007581711,79,144,283,0.384999990463257,78,160,279,0.305512726306915,0.319861471652985,0.357731759548187,0.359058201313019,0.348762542009354,0.349445253610611,0.293085873126984,0.308612018823624,0,0,0,0,0,0,0,0,120.404449462891,143.032287597656,150.436737060547,134.591842651367,139.824127197266,143.699905395508,126.436737060547,159.699905395508,29.7863616943359,29.7963199615479,29.7376804351807,29.683069229126,29.7724418640137,29.7733974456787,29.876443862915,29.7381839752197,0.0433182083070278
"BJSRC01",323274.552639293,4308987.33052322,2819.34677641356,0.999315319882566,7.26829001557331,18.9898891448975,12.36,4,"Talus","Triploid","F","Quaternary deposit",0.434700012207031,105,137,286,0.438899993896484,NA,NA,281,0.416000008583069,88,135,275,0.437599986791611,97,150,289,0.300930231809616,0.313209176063538,0.353309035301208,0.355797171592712,0.345317482948303,0.345765978097916,0.287698060274124,0.304424077272415,0,0,0,0,0,0,0,0,117.877128601074,142.965942382812,147.843078613281,128.107681274414,142.004776000977,141.564743041992,123.843070983887,157.564743041992,29.7866477966309,29.7966213226318,29.7400932312012,29.6840934753418,29.7726955413818,29.7750358581543,29.8764152526855,29.7388191223145,0.379702150821686
"BLRZ",327011.360984728,4310035.46753404,3007.89371906395,-0.664649105957726,17.8114374064556,22.3866291046143,11.2818181818182,3,"Soil","Triploid","M","Quaternary talus / rock glacier",0.620000004768372,95,145,279,0.612900018692017,94,146,281,0.591000020503998,94,141,277,0.675800025463104,93,147,288,0.158758923411369,0.143788903951645,0.151350036263466,0.178560718894005,0.164683893322945,0.154210194945335,0.123078785836697,0.128082901239395,29.6346874237061,33.0577507019043,21.3100967407227,95.9421844482422,38.8867416381836,69.2047882080078,11.7956104278564,80.2837219238281,109.112937927246,133.567337036133,145.35139465332,130.097839355469,133.567337036133,143.433441162109,120.545600891113,153,29.8784275054932,29.8883094787598,29.8350372314453,29.7735233306885,29.8631839752197,29.8629913330078,29.9634494781494,29.8365020751953,0.173308029770851
